,tagline
1787,A beatiful story of a man who could do anything... except be ordinary.
1788,Every second of every day you're faced with a decision that can change your life.
1789,Nature called. Look who answered.
1790,"Eight legs, two fangs, and an attitude."
1791,UH-OH.
1792,It's a whole new west.
1793,No one is safe from son of sam
1794,Romance... In a most unlikely place.
1795,There's nothing like your first piece.
1796,Your Paranoia Is Real.
1797,Space. It's not as deep as you think.
1798,The scariest movie of all time is a true story.
1799,Cruise. Kidman. Kubrick.
1800,You'll never know what bit you.
1801,From best friends to best men.
1802,*(Not His Real Name)
1803,They ain't afraid of no ghost.
1804,We're back!
1805,The battle between the good and the bad is bound to get ugly.
1806,Some houses are born bad.
1807,The greatest hero ever assembled.
1808,A story about two guys trying to make it in the big city.
1809,Bigger. Smarter. Faster. Meaner.
1810,"We're not your classic heroes, we're the other guys."
1811,Catch her if you can.
1812,A different kind of love story.
1813,"...Like No Other Picture Since ""Scarface"" and ""Little Caesar""!"
1814,Her Soft Mouth Was The Road To Sin-Smeared Violence!
1815,More titanic than any story ever told!
1816,How did they ever make a movie of ...
1817,At long last Redmond Barry became a gentleman - and that was his tragedy.
1818,Angel faces hell-bent for violence.
1819,A Hymn to Life and Love
1820,The psychic comedy that's out of its mind.
1821,He went too far.
1822,Eddie Murphy is the chosen one.
1823,Meg just left one. Lenny never had one. Babe just shot one. The MaGrath sisters sure have a way with men
1824,It's about life. It's about love. It's about us.
1825,"When passion and hatred know no limits, expect no mercy."
1826,Don't feed the plants.
1827,The funniest picture of the year!
1828,Richard Chamberlain returns in the sequel to 'King Solomon's Mines'
1829,Last night she drank to forget. Today she woke up to a murder. Is he her last hope or the last man she should trust?
1830,Getting To The Top Means Working Like A Dog!
1831,"The CIA is trailing them, the KGB is tracking them, the phone company is tracing them, the police are chasing them, the cowboys are herding them, and the Indians are hunting them.  Are they going to fall for all of that?”"
1832,A violent crime. A secret affair. A single witness. And nothing is what it appears to be through... The Bedroom Window
1833,You made your bed... now die in it!
1834,"Her story is shocking, disturbing, compelling... and true."
1835,The unmaking of the president
1836,It came from outer space!
1837,Not every gift is a blessing.
1838,How do you get the man who has everything?
1839,He's the target of the most merciless family in New York. His own.
1840,The con is on.
1841,"Their graduation present was a trip to paradise, but they never thought they would land in hell."
1842,Kiss The Rules Goodbye.
1843,A delicious romantic comedy.
1844,full on - all night - come on
1845,The Macabre Masterpiece of Terror!
1846,Ghastly Beyond Belief!
1847,Betrayal cuts both ways!
1848,"Even on her wedding night she must share the man she loved with the ""female thing"" that lived in the Tomb of the Cat!"
1849,Horror has a face.
1850,...A Comedy Chiller
1851,Follow the newest cat-and-creature game as played through
1852,If the Motion Picture Industry dies... Monty Python killed it!
1853,The first time was only a warning.
1854,The power of evil is no longer in the hands of a child.
1855,"What's slower than a speeding bullet, and able to hit tall buildings at a single bound?"
1856,For the ride of your life... All you need for Christmas are your two front seats!
1857,Things are about to get a little hairy.
1858,"For over two thousand years, Europe has survived many great disasters. Now for the real test. Chevy Chase & his family are coming from America!"
1859,Every summer Chevy Chase takes his family on a little trip. This year he went too far.
1860,Chevy Chase finds life in the country isn't what it's cracked up to be!
1861,You're Only Young Once But For Josh It Might Just Last A Lifetime.
1862,Attila the Hun. Ivan the Terrible. Al Capone. They were all seven once.
1863,"Take Off On A Wonderful Adventure With ""Little Nemo"""
1864,"They dared to play the game of love, faith, and chance."
1865,A business on the line. A friendship on the edge. A woman caught in the middle.
1866,Two Supreme Court Justices have been assassinated. One lone law student has stumbled upon the truth. An investigative journalist wants her story. Everybody else wants her dead.
1867,"Peace, Harmony, Comfort and Joy... Maybe Next Year."
1868,A romantic comedy you can't refuse
1869,"This summer, the teacher from hell is about to get taught a lesson."
1870,Prepare to become obsolete
1871,The future has a bad attitude.
1872,The color of illusion is Perfect Blue.
1873,His CIA code name is Condor. In the next seventy-two hours almost everyone he trusts will try to kill him.
1874,He turned his back on civilization. Only to discover he had the power to save it.
1875,The real fight is outside the ring.
1876,Prey for the living.
1877,How well do you know the one you love?
1878,From the creator of 'George of the Jungle' comes a new kind of hero
1879,In Goddess we trust.
1880,"This Fall, Action is served on the rocks, with a twist."
1881,Tim's getting a future... whether he likes it or not!
1882,Re-model Your Love Life.
1883,The messenger must be silenced.
1884,In every mind there is a door that should never be opened.
1885,They dreamed of the ghetto...But they woke up in Iowa.
1886,Milo is one lucky cat. He's got nine lives and a best friend.
1887,BIG As The Fog-Shrouded Andes!
1888,Orson Welles' magnificent screening of Shakespeare's immortal tragedy
1889,We're Talkin' Human Experience Here!
1890,Is it wise to talk to strangers?
1891,"Alone, far from home, and far from justice, he has three days to learn the truth about a murder...and the truth is a story you won't forget."
1892,If you survive this night... nothing will scare you again.
1893,Nightmares... is this year's sleeper.
1894,You May Be the Target... of the Next Phone Call...
1895,Nothing Is Real.
1896,Look closer.
1897,Why stop making sense? Why a movie? Why a big suit? Where do the odd movements come from? What will the band do next?
1898,He's A Cop That's Not.
1899,Billy Chapel must choose between the woman he loves and the game he lives for.
1900,What would you have done if you had been given absolute power of life and death over everybody else in the whole world?
1901,"The Beatles, starring in their first full-length, hilarious, action-packed film!"
1902,Explore the possibilities...
1903,"His Story Will Have You Singing, Laughing, Crying, Cheering And Stomping Your Feet."
1904,There are some very good reasons to be afraid of the dark.
1905,Welcome back...
1906,"Broadway's barest, rarest, unsquarest love play."
1907,What did happen on the Cahulawassee River?
1908,Forged by a god. Foretold by a wizard. Found by a king.
1909,"Based on the hit Broadway musical, featuring the choreography of Bob Fosse."
1910,She knew his face. His touch. His voice. She knew everything about him... But the truth.
1911,Follow your heart and nothing is impossible.
1912,Your senses will never be the same.
1913,Pray for day.
1914,"On his most dangerous mission ever, the world's toughest secret agent isn't going in alone."
1915,Jackie Chan in his greatest adventure ever!
1916,Murder isn't always a crime.
1917,"When all hope was lost, he invented it."
1918,Some towns have all the fun.
1919,"When it comes to dating, you better watch your step."
1920,He was her first love... she was his last.
1921,"The Good, The Bad and The Stinky."
1922,The last guy she wants is the only one she needs.
1923,A Small Town on the Outskirts of Greatness.
1924,It's good to be King.
1925,Escaped convicts disguised as beauty pageant experts? This could get ugly
1926,No possession is sacred.  No secret is safe.
1927,They Robbed The Rich...And That's It
1928,There are very good reasons to be afraid of the dark.
1929,The Amazing Characters in Jonathan Swift's Immortal Fantasy Come To Life !
1930,"Once there was a man whose prison was a chair. The man had a monkey, they made the strangest pair. The monkey ruled the man, it climbed inside his head. And now as fate would have it, one of them is dead."
1931,"If this one doesn’t scare you, you’re already dead."
1932,"It's 22 years later, and Norman Bates is finally coming home."
1933,Norman Bates is back to normal. But Mother's off her rocker again!
1934,A woman without shame. A woman without soul.
1935,Akira Kurosawa's Powerful and Newest Japanese Masterpiece
1936,In a perfect world...they never would have met.
1937,Dare to dream.
1938,A true story about finding the courage to be yourself.
1939,Vengeance knows no boundaries.
1940,A How-To-Do-It Guide.
1941,"Time of your life, Huh Kid."
